TIC ID,TOI,SG1B priority,SG2 priority,SG4 priority,SG5 priority,ESM,TSM,Predicted Mass (M_Earth),Spectroscopy Observations,View all TFOPWG Disposition,RA (deg),Dec (deg),Transit Epoch (BJD),Period (days),Duration (hours),Depth (mmag),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Teff (K),Stellar log(g) (cm/s2),Stellar Radius (R_Sun),Stellar Metallicity,Stellar Mass (M_Sun),Candidate
67782629,2454.01,2,2,4,4,2.7,34.5,6.84,3,2454.01,64.32265,-7.766009,2459174.855266,8.5063686826507,2.8291905313501,1.051799,968.27342529268,2.5051088336104,44.811583361213,659.88358008455,7.3439903,91.9976,4431.2,4.45,0.82124,-0.005,0.69,1
41995709,4192.01,3,3,4,4,55.9,70.2,317.0,6,4192.01,23.788129,-41.507216,2458403.421558,4.2300182,1.847,3.774056,3470.0,17.0408,927.501,1537.0,18.0,507.639,6064.1,4.18,1.44,-0.45,1.13,1
159262969,3249.01,3,3,4,4,23.7,62.5,104.36,0,3249.01,219.568388,-40.751081,2459360.094698,3.2420704,2.535,11.570235,10600.0,12.4447,368.009,1220.0,19.0,691.946,5570.7,4.26,1.21,0.0190117,0.98,1
352438619,6793.01,3,3,4,4,13.5,75.7,39.71,0,6793.01,323.04039,-77.426902,2460149.312562,6.5516113,0.786,7.317493,6717.0,7.01051,7.09349,454.0,14.0,213.236,4841.8,4.6,0.73,-0.252311,0.79,1
392064198,5582.01,3,3,4,4,4.2,22.2,22.56,2,5582.01,110.639665,30.418354,2459604.334385,4.51125,4.541,0.825473,760.0,5.04347,1281.58,1666.0,13.0,533.617,6297.2,3.97,1.91,0.2422,1.24,1
267650535,3597.01,5,3,4,5,58.0,182.2,91.87,1,3597.01,9.516583,34.711402,2459853.969135,4.0088245035423,2.7370959388561,23.57989,21483.746224315,11.544426196776,165.19006099972,914.35686084722,110.65019,202.078,5007.0,4.56,0.79569602012634,0.32,0.831,0
404340025,834.01,5,5,5,5,123.1,140.0,317.0,1,834.01,195.828164,-49.639773,2458597.038666,2.6755521237442,3.227733643435,15.68326,14340.99086478,16.335519417354,1360.1640729381,1548.8792954244,321.52252,258.777,6783.0,4.24271,1.3441499471664,0.147754,1.1,0
396234347,6026.01,1,1,4,4,6.3,9.8,2.2,2,6026.01,0.223191,35.752445,2459881.735855,1.2757761,1.313,0.249748,230.0,1.28307,357.418,1211.0,11.0,42.0564,4540.4,4.5,0.79,-0.080034,0.72,1
255735567,5445.01,5,3,4,4,32.8,50.0,317.0,1,5445.01,107.425727,22.741533,2459539.887666,6.3780197,1.226,7.68155,7050.0,18.7767,71.6141,810.0,16.0,813.803,6540.2,3.96,2.03,-0.210958,1.35,0
406140233,5508.01,3,3,4,4,21.1,21.7,317.0,0,5508.01,142.649374,11.627205,2459577.584368,3.1816478,3.493,10.144593,9300.0,14.4913,994.501,1564.0,20.0,1076.22,5949.3,4.11,1.53,0.08,1.09,1
27318774,4471.01,5,5,5,5,21.0,23.1,317.0,1,4471.01,294.996342,50.470046,2459422.907793,3.2432487679663,3.0748440534457,19.148514,17481.821644802,14.580006424674,631.42042136221,1278.4960938984,21.382334,1140.95,5778.0,4.37783,1.0930399894714,0.14,1.04,0
299551666,4664.01,3,3,4,4,33.8,86.3,105.02,0,4664.01,54.66524,4.92143,2459165.08637,3.0002713,3.519,9.257253,8490.0,12.4821,1054.22,1587.0,11.0,606.404,5902.3,4.27,1.26,0.152,1.07,1
123495874,2176.01,5,5,5,5,15.1,51.5,111.4,23,2176.01,282.629633,46.323281,2459776.680872,7.8914271236757,4.2653155874695,10.716818,9822.0002486452,12.929994158452,278.97679864394,1042.3456807963,35.838375,722.795,5883.0,4.25,1.2799199819565,0.19,1.07,0
166739520,190.01,5,3,4,5,49.4,193.1,94.92,4,190.01,36.775811,-50.284425,2459139.178447,10.020599778833,5.7591694018013,8.959603,8218.1442864749,11.767918313973,211.79165340582,972.96442173092,216.54204,157.963,6038.0,4.35513,1.275269985199,-0.36,1.1,0
393831507,1820.01,5,3,4,4,46.6,138.1,90.33,20,1820.01,187.686721,27.452002,2459661.328325,4.860673,2.632,6.68697,6140.0,11.4272,292.245,1151.0,77.0,248.504,5778.2,4.16,1.4,0.0180147,1.036,0
456910600,6221.01,3,3,4,4,4.4,23.0,37.44,0,6221.01,26.657289,22.743059,2460223.782824,9.8326403,4.827,3.008396,2767.0,6.80252,229.607,1084.0,13.0,606.891,5966.4,4.18,1.41,-0.143,1.09,1
